square_id,cluster_k4,cluster_label
1,0,Low activity / peripheral
2,0,Low activity / peripheral
3,0,Low activity / peripheral
4,0,Low activity / peripheral
5,0,Low activity / peripheral
6,0,Low activity / peripheral
7,0,Low activity / peripheral
8,0,Low activity / peripheral
9,0,Low activity / peripheral
10,0,Low activity / peripheral
11,0,Low activity / peripheral
12,0,Low activity / peripheral
13,0,Low activity / peripheral
14,0,Low activity / peripheral
15,0,Low activity / peripheral
16,0,Low activity / peripheral
17,0,Low activity / peripheral
18,0,Low activity / peripheral
19,0,Low activity / peripheral
20,0,Low activity / peripheral
21,0,Low activity / peripheral
22,0,Low activity / peripheral
23,0,Low activity / peripheral
24,0,Low activity / peripheral
25,0,Low activity / peripheral
26,0,Low activity / peripheral
27,0,Low activity / peripheral
28,0,Low activity / peripheral
29,0,Low activity / peripheral
30,0,Low activity / peripheral
31,0,Low activity / peripheral
32,0,Low activity / peripheral
33,0,Low activity / peripheral
34,0,Low activity / peripheral
35,0,Low activity / peripheral
36,0,Low activity / peripheral
37,0,Low activity / peripheral
38,0,Low activity / peripheral
39,0,Low activity / peripheral
40,0,Low activity / peripheral
41,0,Low activity / peripheral
42,0,Low activity / peripheral
43,0,Low activity / peripheral
44,0,Low activity / peripheral
45,0,Low activity / peripheral
46,0,Low activity / peripheral
47,2,Moderate activity
48,1,Urban mixed-use
49,2,Moderate activity
50,0,Low activity / peripheral
51,0,Low activity / peripheral
52,0,Low activity / peripheral
53,0,Low activity / peripheral
54,0,Low activity / peripheral
55,0,Low activity / peripheral
56,0,Low activity / peripheral
57,0,Low activity / peripheral
58,0,Low activity / peripheral
59,0,Low activity / peripheral
60,0,Low activity / peripheral
61,0,Low activity / peripheral
62,0,Low activity / peripheral
63,0,Low activity / peripheral
64,0,Low activity / peripheral
65,0,Low activity / peripheral
66,0,Low activity / peripheral
67,0,Low activity / peripheral
68,0,Low activity / peripheral
69,0,Low activity / peripheral
70,0,Low activity / peripheral
71,0,Low activity / peripheral
72,0,Low activity / peripheral
73,0,Low activity / peripheral
74,0,Low activity / peripheral
75,0,Low activity / peripheral
76,0,Low activity / peripheral
77,0,Low activity / peripheral
78,0,Low activity / peripheral
79,0,Low activity / peripheral
80,0,Low activity / peripheral
81,0,Low activity / peripheral
82,0,Low activity / peripheral
83,0,Low activity / peripheral
84,0,Low activity / peripheral
85,0,Low activity / peripheral
86,0,Low activity / peripheral
87,0,Low activity / peripheral
88,0,Low activity / peripheral
89,0,Low activity / peripheral
90,0,Low activity / peripheral
91,0,Low activity / peripheral
92,0,Low activity / peripheral
93,0,Low activity / peripheral
94,0,Low activity / peripheral
95,0,Low activity / peripheral
96,0,Low activity / peripheral
97,0,Low activity / peripheral
98,0,Low activity / peripheral
99,0,Low activity / peripheral
100,0,Low activity / peripheral
101,0,Low activity / peripheral
102,0,Low activity / peripheral
103,0,Low activity / peripheral
104,0,Low activity / peripheral
105,0,Low activity / peripheral
106,0,Low activity / peripheral
107,0,Low activity / peripheral
108,0,Low activity / peripheral
109,0,Low activity / peripheral
110,0,Low activity / peripheral
111,0,Low activity / peripheral
112,0,Low activity / peripheral
113,0,Low activity / peripheral
114,0,Low activity / peripheral
115,0,Low activity / peripheral
116,0,Low activity / peripheral
117,0,Low activity / peripheral
118,0,Low activity / peripheral
119,0,Low activity / peripheral
120,0,Low activity / peripheral
121,0,Low activity / peripheral
122,0,Low activity / peripheral
123,0,Low activity / peripheral
124,0,Low activity / peripheral
125,0,Low activity / peripheral
126,0,Low activity / peripheral
127,0,Low activity / peripheral
128,0,Low activity / peripheral
129,0,Low activity / peripheral
130,0,Low activity / peripheral
131,0,Low activity / peripheral
132,0,Low activity / peripheral
133,0,Low activity / peripheral
134,0,Low activity / peripheral
135,0,Low activity / peripheral
136,0,Low activity / peripheral
137,0,Low activity / peripheral
138,0,Low activity / peripheral
139,0,Low activity / peripheral
140,0,Low activity / peripheral
141,0,Low activity / peripheral
142,0,Low activity / peripheral
143,0,Low activity / peripheral
144,0,Low activity / peripheral
145,0,Low activity / peripheral
